name,pseudo_mIoU,pseudo_mprecision,pseudo_mrecall,enhanced_mIoU,enhanced_mprecision,enhanced_mrecall,mIoU_delta,mprecision_delta,mrecall_delta
2007_000032,0.421,0.47,0.803,0.391,0.43,0.815,-0.02999999999999997,-0.03999999999999998,0.0119999999999999
2007_000039,0.374,0.376,0.991,0.38,0.381,0.999,0.006000000000000005,0.0050000000000000044,0.008000000000000007
2007_000063,0.546,0.55,0.989,0.557,0.558,0.997,0.01100000000000001,0.008000000000000007,0.008000000000000007
2007_000068,0.309,0.999,0.309,0.083,0.977,0.083,-0.22599999999999998,-0.02200000000000002,-0.22599999999999998
2007_000121,0.153,0.33,0.222,0.094,0.251,0.132,-0.059,-0.07900000000000001,-0.09
2007_000170,0.465,0.55,0.638,0.497,0.564,0.655,0.03199999999999997,0.013999999999999901,0.017000000000000015
2007_000241,0.723,0.759,0.937,0.85,0.862,0.984,0.127,0.10299999999999998,0.04699999999999993
2007_000243,0.967,1.0,0.967,0.979,1.0,0.979,0.01200000000000001,0.0,0.01200000000000001
2007_000250,0.425,0.453,0.466,0.424,0.452,0.467,-0.0010000000000000009,-0.0010000000000000009,0.0010000000000000009
2007_000256,0.704,0.707,0.994,0.765,0.766,0.997,0.061000000000000054,0.05900000000000005,0.0030000000000000027
2007_000333,0.699,0.711,0.976,0.701,0.713,0.976,0.0020000000000000018,0.0020000000000000018,0.0
2007_000363,0.228,0.977,0.229,0.276,1.0,0.276,0.048000000000000015,0.02300000000000002,0.047000000000000014
2007_000364,0.67,0.692,0.955,0.699,0.709,0.981,0.028999999999999915,0.017000000000000015,0.026000000000000023
2007_000392,0.698,0.749,0.913,0.742,0.778,0.942,0.04400000000000004,0.029000000000000026,0.028999999999999915
2007_000480,0.76,0.816,0.923,0.865,0.902,0.956,0.10499999999999998,0.08600000000000008,0.03299999999999992
2007_000504,0.881,0.971,0.905,0.95,0.968,0.981,0.06899999999999995,-0.0030000000000000027,0.07599999999999996
2007_000515,0.004,0.004,0.408,0.004,0.004,0.408,0.0,0.0,0.0
2007_000528,0.938,0.977,0.959,0.945,0.983,0.96,0.007000000000000006,0.006000000000000005,0.0010000000000000009
2007_000549,0.74,0.993,0.744,0.82,0.995,0.823,0.07999999999999996,0.0020000000000000018,0.07899999999999996
2007_000584,0.464,0.472,0.964,0.468,0.476,0.965,0.0040000000000000036,0.0040000000000000036,0.0010000000000000009
2007_000645,0.716,0.728,0.978,0.719,0.722,0.994,0.0030000000000000027,-0.006000000000000005,0.016000000000000014
2007_000648,0.658,0.697,0.839,0.64,0.684,0.794,-0.018000000000000016,-0.0129999999999999,-0.04499999999999993
2007_000713,0.911,0.989,0.921,0.939,0.987,0.951,0.027999999999999914,-0.0020000000000000018,0.029999999999999916
2007_000720,0.927,0.999,0.928,0.998,0.998,1.0,0.07099999999999995,-0.0010000000000000009,0.07199999999999995
2007_000733,0.821,0.859,0.951,0.837,0.872,0.956,0.016000000000000014,0.013000000000000012,0.0050000000000000044
2007_000738,0.881,0.881,0.999,0.842,0.843,0.999,-0.039000000000000035,-0.038000000000000034,0.0
2007_000768,0.842,0.856,0.98,0.838,0.853,0.98,-0.0040000000000000036,-0.0030000000000000027,0.0
